DATE_TIME,current_contract,next_contract,carry_contract
2008-12-08 23:00:00,20090300,20090500,20090100
2009-02-09 23:00:00,20090500,20090700,20090300
2009-04-08 23:00:00,20090700,20090900,20090500
2009-06-08 23:00:00,20090900,20091100,20090700
2009-08-10 23:00:00,20091100,20100100,20090900
2009-10-08 23:00:00,20100100,20100300,20091100
2009-12-08 23:00:00,20100300,20100500,20100100
2010-02-08 23:00:00,20100500,20100700,20100300
2010-04-08 23:00:00,20100700,20100900,20100500
2010-06-08 23:00:00,20100900,20101100,20100700
2010-08-09 23:00:00,20101100,20110100,20100900
2010-10-08 23:00:00,20110100,20110300,20101100
2010-12-08 23:00:00,20110300,20110500,20110100
2011-02-08 23:00:00,20110500,20110700,20110300
2011-04-08 23:00:00,20110700,20110900,20110500
2011-06-08 23:00:00,20110900,20111100,20110700
2011-08-08 23:00:00,20111100,20120100,20110900
2011-10-10 23:00:00,20120100,20120300,20111100
2011-12-08 23:00:00,20120300,20120500,20120100
2012-02-08 23:00:00,20120500,20120700,20120300
2012-04-09 23:00:00,20120700,20120900,20120500
2012-06-08 23:00:00,20120900,20121100,20120700
2012-10-05 23:00:00,20121100,20130100,20120900
2012-11-09 14:00:00,20130100,20130300,20121100
2012-12-05 18:00:00,20130300,20130500,20130100
2013-02-07 18:00:00,20130500,20130700,20130300
2013-04-05 17:00:00,20130700,20130900,20130500
2013-05-28 17:00:00,20130900,20131100,20130700
2013-08-01 16:00:00,20131100,20140100,20130900
2013-10-04 17:00:00,20140100,20140300,20131100
2013-12-09 18:00:00,20140300,20140500,20140100
2014-02-06 15:00:00,20140500,20140700,20140300
2014-04-08 13:00:00,20140700,20140900,20140500
2014-06-05 16:00:00,20140900,20141100,20140700
2014-08-08 13:00:00,20141100,20150100,20140900
2014-10-03 16:00:00,20150100,20150300,20141100
2014-12-05 14:00:00,20150300,20150500,20150100
2015-02-09 15:00:00,20150500,20150700,20150300
2015-04-08 13:00:00,20150700,20150900,20150500
2015-06-05 13:00:00,20150900,20151100,20150700
2015-08-03 16:00:00,20151100,20160100,20150900
2015-10-07 15:00:00,20160100,20160300,20151100
2015-12-08 17:00:00,20160300,20160500,20160100
2016-02-05 17:00:00,20160500,20160700,20160300
2016-04-06 16:00:00,20160700,20160900,20160500
2016-06-07 15:00:00,20160900,20161100,20160700
2016-09-12 16:00:00,20161100,20170100,20160900
2016-10-07 14:00:00,20170100,20170300,20161100
2016-12-08 17:00:00,20170300,20170500,20170100
2017-02-08 15:00:00,20170500,20170700,20170300
2017-04-05 13:00:00,20170700,20170900,20170500
2017-06-01 15:00:00,20170900,20171100,20170700
2017-08-07 13:00:00,20171100,20180100,20170900
2017-10-06 14:00:00,20180100,20180300,20171100
2017-11-29 14:00:00,20180300,20180500,20180100
2018-02-07 16:00:00,20180500,20180700,20180300
2018-04-09 16:00:00,20180700,20180900,20180500
2018-06-08 14:00:00,20180900,20181100,20180700
2018-08-07 15:00:00,20181100,20190100,20180900
2018-09-28 16:00:00,20190100,20190300,20181100
2018-12-06 15:00:00,20190300,20190500,20190100
2019-02-06 17:00:00,20190500,20190700,20190300
2019-04-05 13:00:00,20190700,20190900,20190500
2019-05-31 13:00:00,20190900,20191100,20190700
2019-08-05 16:00:00,20191100,20200100,20190900
2019-10-02 15:00:00,20200100,20200300,20191100
2019-12-05 15:00:00,20200300,20200500,20200100
2020-02-04 14:00:00,20200500,20200700,20200300
2020-04-02 14:00:00,20200700,20200900,20200500
2020-06-04 16:00:00,20200900,20201100,20200700
2020-08-04 14:00:00,20201100,20210100,20200900
2020-10-07 13:00:00,20210100,20210300,20201100
2020-12-01 17:00:00,20210300,20210500,20210100
2021-02-04 14:00:00,20210500,20210700,20210300
2021-04-01 14:00:00,20210700,20210900,20210500
2021-06-02 15:00:00,20210900,20211100,20210700
2021-08-03 14:00:00,20211100,20220100,20210900
2021-10-07 16:00:00,20220100,20220300,20211100
2021-12-07 16:00:00,20220300,20220500,20220100
2022-03-09 14:00:00,20220500,20220700,20220300
2022-04-08 15:00:00,20220700,20220900,20220500
2022-06-02 13:00:00,20220900,20221100,20220700
2022-07-28 16:00:00,20221100,20230100,20220900
2022-09-15 14:00:00,20230100,20230300,20221100
2022-11-22 14:00:00,20230300,20230500,20230100
2023-03-09 14:00:00,20230500,20230700,20230300
2023-04-06 16:00:00,20230700,20230900,20230500
